Mods count: 364
 
jar name                                                                           | mod id (isMCreator)                           | mixin configs
cerulean-forge-1.0.0-1.20.1.jar                                                    | cerulean                                      | mixins.cerulean.json
charmofundying-forge-6.5.0+1.20.1.jar                                              | charmofundying                                | charmofundying.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                           | spectrelib                                    | 
chat_heads-0.15.0-forge-1.20.jar                                                   | chat_heads                                    | chat_heads.forge.mixins.json, chat_heads.mixins.json
chefsdelight-1.0.4-forge-1.20.1.jar                                                | chefsdelight                                  | 
cherishedworlds-forge-6.1.7+1.20.1.jar                                             | cherishedworlds                               | cherishedworlds.mixins.json
chipped-forge-1.20.1-3.0.7.jar                                                     | chipped                                       | chipped-common.mixins.json
chunkactivitytracker-forge-1.0.1-1.20.1.jar                                        | chunkactivitytracker                          | mixins.chunkactivitytracker.json
chunksending-1.20.1-2.8.jar                                                        | chunksending                                  | chunksending.mixins.json
citadel-2.6.3-1.20.1.jar                                                           | citadel                                       | citadel.mixins.json
citresewn-1.20.1-5.jar                                                             | citresewn                                     | citresewn.mixins.json
clientcrafting-1.20.1-1.9.jar                                                      | clientcrafting                                | clientcrafting.mixins.json
clientsort-forge-2.2.1+1.20.1.jar                                                  | clientsort                                    | clientsort.mixins.json, clientsort.forge.mixins.json
ClimateRivers-v20.1.0-1.20.1-Forge.jar                                             | climaterivers                                 | climaterivers.forge.mixins.json, climaterivers.common.mixins.json
cloth-config-11.1.136-forge.jar                                                    | cloth_config                                  | 
Clumps-forge-1.20.1-12.0.0.4.jar                                                   | clumps                                        | clumps.mixins.json
collective-1.20.1-8.13.jar                                                         | collective                                    | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json
colorwheel-forge-1.2.2+mc1.20.1.jar                                                | colorwheel                                    | colorwheel.mixins.json, colorwheel.forge.mixins.json
comforts-forge-6.4.0+1.20.1.jar                                                    | comforts                                      | comforts.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                           | spectrelib                                    | 
ConfiguredDefaults-v8.0.4-1.20.1-Forge.jar                                         |                                               | 
connectivity-1.20.1-7.6.jar                                                        | connectivity                                  | connectivity.mixins.json
Connector-1.0.0-beta.46+1.20.1.jar                                                 |                                               | 
    /META-INF/jarjar/Connector-1.0.0-beta.46+1.20.1-mod.jar                        | connectormod                                  | mixins.connectormod.refmap.json, connectormod.mixins.json
        /META-INF/jarjar/Connector-1.0.0-beta.46+1.20.1-fabricloader.jar           |                                               | 
        /META-INF/jarjar/runtime-1.0.0+1.20.1.jar                                  |                                               | adapter.init.mixins.json
ConnectorExtras-1.11.2+1.20.1.jar                                                  | connectorextras                               | 
